date;store;type;pallets
03/may;389;FRESH GOODS;12
04/may;389;FRESH GOODS;13
05/may;389;FRESH GOODS;13
07/may;389;FRESH GOODS;13
03/may;389;DRY GOODS;17
04/may;389;DRY GOODS;19
06/may;389;FRESH GOODS;19
07/may;389;DRY GOODS;20
06/may;389;DRY GOODS;22
02/may;389;DRY GOODS;23
05/may;389;DRY GOODS;25
07/may;439;DRY GOODS;11
02/may;439;FRESH GOODS;11
04/may;439;FRESH GOODS;12
05/may;439;FRESH GOODS;14
07/may;439;FRESH GOODS;16
06/may;439;FRESH GOODS;19
03/may;439;FRESH GOODS;24
03/may;439;DRY GOODS;25
04/may;439;DRY GOODS;25
06/may;439;DRY GOODS;26
02/may;439;DRY GOODS;30
05/may;439;DRY GOODS;43
02/may;446;FRESH GOODS;17
07/may;446;DRY GOODS;21
04/may;446;FRESH GOODS;22
03/may;446;FRESH GOODS;23
05/may;446;FRESH GOODS;25
06/may;446;FRESH GOODS;25
07/may;446;FRESH GOODS;26
06/may;446;DRY GOODS;27
02/may;446;DRY GOODS;29
03/may;446;DRY GOODS;35
05/may;446;DRY GOODS;37
04/may;446;DRY GOODS;39
02/may;461;FRESH GOODS;21
03/may;461;FRESH GOODS;29
04/may;461;FRESH GOODS;29
05/may;461;FRESH GOODS;32
